Environment	Cummulative_Time	X	Z	rotation
Nature_Env	17.07581	36.52	22	240
Nature_Env	18.09204	36.52	22	240
Nature_Env	19.10799	36.52	22	240
Nature_Env	20.12392	36.52	22	240
Nature_Env	21.12465	36.52	22	240
Nature_Env	22.14045	36.52	22	240
Nature_Env	23.15631	36.52	22	240
Nature_Env	24.17289	36.52	22	240
Nature_Env	25.18919	36.52	22	240
Nature_Env	26.20547	28.20616	17.2	240
Nature_Env	27.22186	19.3727	12.1	240
Nature_Env	28.23797	10.71245	7.099998	240
Nature_Env	29.25434	2.052193	2.099997	240.9936
Nature_Env	30.2546	2.052193	2.099997	298.9496
Nature_Env	31.27064	2.052193	2.099997	298.9496
Nature_Env	32.28709	2.052193	2.099997	295.4872
Nature_Env	33.3033	-6.071942	5.972777	295.4872
Nature_Env	34.31914	-12.60681	9.845065	298.9757
Nature_Env	35.33583	-12.60681	9.845065	224.8138
Nature_Env	36.35192	-12.60681	9.845065	166.4869
Nature_Env	37.36877	-12.60681	9.845065	282.4879
Nature_Env	38.38491	-16.82562	12.13454	298.4879
Nature_Env	39.40117	-20.16438	13.94909	300.1584
Nature_Env	40.41713	-20.16438	13.94909	300.1584
Nature_Env	41.41726	-26.73564	17.76728	300.1584
Nature_Env	42.43402	-35.55496	22.89168	300.1584
Nature_Env	43.44957	-41.26159	26.20748	300.1584
Nature_Env	44.45015	-41.26159	26.20748	300.1584
Nature_Env	45.46869	-41.26159	26.20748	300.1584
Nature_Env	46.4816	36.52	22	240
Nature_Env	47.48525	36.52	22	240
Nature_Env	48.50194	34.61475	20.9	240
Nature_Env	49.50703	25.95449	15.9	240
Nature_Env	50.53326	17.12103	10.8	240
Nature_Env	51.53351	8.46078	5.799997	240
Nature_Env	52.5661	3.784244	3.099997	210.0159
Nature_Env	53.56636	2.160582	-2.19534	192.8532
Nature_Env	54.56742	2.428934	-5.584718	185.478
Nature_Env	55.59887	1.473192	-12.31722	188.0797
Nature_Env	56.63182	1.343677	-15.30271	172.0431
Nature_Env	57.63237	1.939575	-23.28048	175.7282
Nature_Env	58.63338	1.880036	-33.24625	185.7994
Nature_Env	59.66389	1.179711	-41.61462	182.8686
Nature_Env	60.66459	1.179711	-41.61462	182.8686
Nature_Env	61.69636	1.179711	-41.61462	182.8686
Nature_Env	62.72974	36.52	22	240
Nature_Env	63.74474	36.52	22	240
Nature_Env	64.7449	36.52	22	240
Nature_Env	65.76208	36.52	22	240
Nature_Env	66.77714	36.52	22	240
Nature_Env	67.79573	36.52	22	240
Nature_Env	68.80833	36.52	22	240
Nature_Env	69.8103	36.52	22	240
Nature_Env	70.82704	36.52	22	240
Nature_Env	71.82738	36.52	22	240
Nature_Env	72.84306	36.52	22	240
Nature_Env	73.8441	36.52	22	240
Nature_Env	74.85765	36.52	22	240
Nature_Env	75.87583	36.52	22	240
Nature_Env	76.89121	36.52	22	240
Nature_Env	77.90826	36.52	22	240
Nature_Env	78.92371	36.52	22	240
Nature_Env	79.9409	36.52	22	240
Nature_Env	80.95637	36.52	22	240
Nature_Env	81.97347	36.52	22	240
Nature_Env	82.98914	36.52	22	240
Nature_Env	84.00579	36.52	22	240
Nature_Env	85.02121	36.52	22	240
Nature_Env	86.02171	36.52	22	240
Nature_Env	87.03809	36.52	22	240
Nature_Env	88.05376	36.52	22	240
Nature_Env	89.07072	36.52	22	240
Nature_Env	90.0864	36.52	22	240
Nature_Env	91.08683	36.52	22	240
Nature_Env	92.10479	36.52	22	240
Nature_Env	93.11816	36.52	22	240
Nature_Env	94.13593	36.52	22	240
Nature_Env	95.15174	36.52	22	240
Nature_Env	96.16895	36.52	22	240
Nature_Env	97.18422	36.52	22	240
Nature_Env	98.20132	36.52	22	240
Nature_Env	99.21595	36.52	22	240
Nature_Env	100.2166	36.52	22	240
Nature_Env	101.2324	36.52	22	240
Nature_Env	102.2497	36.52	22	240
Nature_Env	103.2662	36.52	22	240
Nature_Env	104.2814	36.52	22	240
Nature_Env	105.2984	36.52	22	240
Nature_Env	106.3148	36.52	22	240
Nature_Env	107.3314	36.52	22	240
Nature_Env	108.347	36.52	22	240
Nature_Env	109.364	36.52	22	240
Nature_Env	110.3788	36.52	22	240
Nature_Env	111.379	36.52	22	240
Nature_Env	112.3964	36.52	22	240
Nature_Env	113.3965	36.52	22	240
Nature_Env	114.3973	36.52	22	240
Nature_Env	115.4287	36.52	22	240
Nature_Env	116.429	36.52	22	240
Nature_Env	117.4619	36.52	22	240
Nature_Env	118.493	36.52	22	240
Nature_Env	119.4937	36.52	22	240
Nature_Env	120.5265	36.52	22	240
Nature_Env	121.5269	36.52	22	240
Nature_Env	122.5276	36.52	22	240
Nature_Env	123.559	36.52	22	240
Nature_Env	124.5921	36.52	22	240
Nature_Env	125.5929	36.52	22	240
Nature_Env	126.6247	36.52	22	240
Nature_Env	127.657	36.52	22	240
Nature_Env	128.6577	36.52	22	240
Nature_Env	129.69	36.52	22	240
Nature_Env	130.7239	36.52	22	240
Nature_Env	131.7555	36.52	22	240
Nature_Env	132.7561	36.52	22	240
Nature_Env	133.7894	36.52	22	240
Nature_Env	134.8224	36.52	22	240
Nature_Env	135.8548	36.52	22	240
Nature_Env	136.8883	36.52	22	240
Nature_Env	137.92	36.52	22	240
Nature_Env	138.9205	36.52	22	240
Nature_Env	139.9208	36.52	22	240
Nature_Env	140.9534	36.52	22	240
Nature_Env	141.9535	36.52	22	240
Nature_Env	142.9543	36.52	22	240
Nature_Env	143.9856	36.52	22	240
Nature_Env	145.018	36.52	22	240
Nature_Env	146.0185	36.52	22	240
